tipo,sexo,n_sin_ponderar,codigo,motivo,porcentaje,li_95,ls_95
Abandonó la práctica,Hombre,700,1,Instalaciones u horarios,1.7863784058054801,0.34798939868311823,3.2247674129278416
Abandonó la práctica,Mujer,753,1,Instalaciones u horarios,2.3173372300385178,1.0827788753428171,3.551895584734219
Abandonó la práctica,Hombre,700,2,Cansancio por trabajo/estudio,15.14242318959019,11.876095163192481,18.408751215987902
Abandonó la práctica,Mujer,753,2,Cansancio por trabajo/estudio,5.834083626483711,3.911305457139136,7.756861795828285
Abandonó la práctica,Hombre,700,3,Cansancio por cuidados,0.7208916344442468,0.06650358200469379,1.3752796868837998
Abandonó la práctica,Mujer,753,3,Cansancio por cuidados,3.640128324748527,2.0776243374182535,5.2026323120788005
Abandonó la práctica,Hombre,700,4,Salud o edad,26.48650362842503,22.38725014879902,30.585757108051038
Abandonó la práctica,Mujer,753,4,Salud o edad,20.493814769750276,17.010766109235405,23.976863430265148
Abandonó la práctica,Hombre,700,5,Inseguridad,0.4878125443765726,0,1.0402910104319159
Abandonó la práctica,Mujer,753,5,Inseguridad,1.8467216572004361,0.7066132568319055,2.986830057568967
Abandonó la práctica,Hombre,700,6,Tiempo por cuidados,7.289337218171929,4.334491679437407,10.244182756906453
Abandonó la práctica,Mujer,753,6,Tiempo por cuidados,25.780709968342062,21.775812393934125,29.785607542750004
Abandonó la práctica,Hombre,700,7,Tiempo por trabajo/estudio,37.0155256964561,32.658779455347684,41.37227193756452
Abandonó la práctica,Mujer,753,7,Tiempo por trabajo/estudio,24.921048975826277,21.06188592543312,28.78021202621943
Abandonó la práctica,Hombre,700,8,Dinero,1.2583947144941112,0.05519859231156426,2.461590836676658
Abandonó la práctica,Mujer,753,8,Dinero,1.3463999233957156,0.3884668400611954,2.3043330067302357
Abandonó la práctica,Hombre,700,9,Desgano,6.699460661518937,4.667808460625094,8.73111286241278
Abandonó la práctica,Mujer,753,9,Desgano,8.960689807334777,6.567833369085347,11.353546245584205
Abandonó la práctica,Hombre,700,10,Otro,3.1132723067173993,1.551857084273698,4.6746875291611
Abandonó la práctica,Mujer,753,10,Otro,4.8590657168797,2.7127481683551515,7.005383265404248
Nunca practicó,Hombre,189,1,Instalaciones u horarios,3.701919397515042,0.689237591348767,6.714601203681317
Nunca practicó,Mujer,552,1,Instalaciones u horarios,4.345953911097027,2.4527509114568633,6.239156910737191
Nunca practicó,Hombre,189,2,Cansancio por trabajo/estudio,14.978132575239677,8.462633549104547,21.49363160137481
Nunca practicó,Mujer,552,2,Cansancio por trabajo/estudio,6.816568878794451,4.392018711671565,9.241119045917335
Nunca practicó,Hombre,189,3,Cansancio por cuidados,0,0,0
Nunca practicó,Mujer,552,3,Cansancio por cuidados,6.267262361749347,3.954684902076571,8.579839821422123
Nunca practicó,Hombre,189,4,Salud o edad,15.681708152860436,10.1641798427717,21.19923646294917
Nunca practicó,Mujer,552,4,Salud o edad,17.125009976582778,13.195396810131236,21.05462314303432
Nunca practicó,Hombre,189,5,Inseguridad,1.9511280684692032,0,4.067890182637
Nunca practicó,Mujer,552,5,Inseguridad,0.538042227722982,0,1.2143340678961563
Nunca practicó,Hombre,189,6,Tiempo por cuidados,8.160685586331613,3.0257387755073335,13.295632397155893
Nunca practicó,Mujer,552,6,Tiempo por cuidados,21.102977946202532,16.70556257586467,25.500393316540393
Nunca practicó,Hombre,189,7,Tiempo por trabajo/estudio,33.44243398282079,25.003952885594767,41.880915080046805
Nunca practicó,Mujer,552,7,Tiempo por trabajo/estudio,16.02753917591235,12.414114033267104,19.640964318557597
Nunca practicó,Hombre,189,8,Dinero,0.754116587856227,0,2.2337042526471866
Nunca practicó,Mujer,552,8,Dinero,0.5593351827936257,0,1.3012951612065227
Nunca practicó,Hombre,189,9,Desgano,21.329875648907016,14.504484497321116,28.155266800492917
Nunca practicó,Mujer,552,9,Desgano,25.60457014056727,21.288785028379476,29.92035525275506
Nunca practicó,Hombre,189,10,Otro,0,0,0
Nunca practicó,Mujer,552,10,Otro,1.6127401985776395,0.05441775615311704,3.171062641002162
