tipo,motivo,sexo,n_respuestas_validas,n_eligio_motivo,porcentaje,li_95,ls_95,graficable
Abandonó,Tiempo por cuidados,Hombre,700,40,7.289337218171929,4.334491679437407,10.244182756906453,TRUE
Abandonó,Tiempo por cuidados,Mujer,753,184,25.780709968342062,21.775812393934125,29.785607542750004,TRUE
Abandonó,Tiempo por trabajo/estudio,Hombre,700,262,37.0155256964561,32.658779455347684,41.37227193756452,TRUE
Abandonó,Tiempo por trabajo/estudio,Mujer,753,191,24.921048975826277,21.06188592543312,28.78021202621943,TRUE
Nunca practicó,Tiempo por cuidados,Hombre,189,12,8.160685586331613,3.0257387755073335,13.295632397155893,TRUE
Nunca practicó,Tiempo por cuidados,Mujer,552,112,21.102977946202532,16.70556257586467,25.500393316540393,TRUE
Nunca practicó,Tiempo por trabajo/estudio,Hombre,189,53,33.44243398282079,25.003952885594767,41.880915080046805,TRUE
Nunca practicó,Tiempo por trabajo/estudio,Mujer,552,93,16.02753917591235,12.414114033267104,19.640964318557597,TRUE
