termino,OR,li_95,ls_95
(Intercept),1.0903853063728204,0.8067598606392853,1.4737224474847077
sexo_grupoMujer,0.6992570497991921,0.5971715538955631,0.8187938934870669
edad_grupo18-29,0.41637061902434797,0.299584722943581,0.5786826867649303
edad_grupo30-44,0.43006243614707723,0.3156264633470883,0.5859892007260774
edad_grupo45-59,0.39895776564461016,0.2976397685541869,0.5347648922766934
edad_grupo60+,0.4882406719274758,0.35860167190469006,0.6647457956848286
educacionSecundaria/técnica,1.4284765339466623,1.1415772770726964,1.7874788233949113
educacionMedia superior,1.6447997704488553,1.2666851099278456,2.1357843900310107
educacionSuperior,3.300090590170972,2.5482359160676546,4.273779297538891
