grupo,tasa,li_95,ls_95,sexo,educacion,n_sin_ponderar,graficable
Hombre | Hasta primaria,0.34612369519934877,0.29206817250921463,0.4001792178894829,Hombre,Hasta primaria,465,TRUE
Mujer | Hasta primaria,0.2908166667942525,0.2447625856988519,0.3368707478896531,Mujer,Hasta primaria,562,TRUE
Hombre | Secundaria/técnica,0.4459956577058179,0.3923049136693403,0.4996864017422955,Hombre,Secundaria/técnica,541,TRUE
Mujer | Secundaria/técnica,0.3608542154057164,0.3162366111074101,0.4054718197040227,Mujer,Secundaria/técnica,715,TRUE
Hombre | Media superior,0.4407751402203322,0.387371942523311,0.49417833791735344,Hombre,Media superior,455,TRUE
Mujer | Media superior,0.38884253967311433,0.3354833141297062,0.44220176521652244,Mujer,Media superior,485,TRUE
Hombre | Superior,0.6480371720986112,0.593149759127659,0.7029245850695635,Hombre,Superior,483,TRUE
Mujer | Superior,0.4805844443636251,0.42002380126634997,0.5411450874609002,Mujer,Superior,520,TRUE
